census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
1901,1,410,0,0.993,Franklin Square
1901,2,695,0.03,0.871,Franklin Square
1901,3,790,0.028,0.939,Franklin Square
1902,1,762,0.286,0.617,Union Square
1902,2,1158,0.333,0.516,New Southwest/Mount Clare
1903,1,582,0.223,0.729,Union Square
1903,2,787,0.16,0.813,Carrollton Ridge
1903,3,480,0.408,0.45,New Southwest/Mount Clare
1903,4,737,0.446,0.377,Carrollton Ridge
2001,1,883,0.015,0.951,Penrose/Fayette Street Outreach
2001,2,963,0.029,0.945,Penrose/Fayette Street Outreach
2002,1,599,0.023,0.96,Penrose/Fayette Street Outreach
2002,2,708,0.003,0.99,Penrose/Fayette Street Outreach
2002,3,497,0.008,0.984,Penrose/Fayette Street Outreach
2002,4,557,0.011,0.962,Shipley Hill
2002,5,608,0.018,0.952,Penrose/Fayette Street Outreach
2003,1,745,0.156,0.797,Carrollton Ridge
2003,2,1091,0.328,0.589,Carrollton Ridge
2004,1,652,0.003,0.971,Shipley Hill
2004,2,1039,0.04,0.944,Shipley Hill
2005,1,428,0.353,0.612,Carrollton Ridge
2005,2,539,0.295,0.651,Millhill
2005,3,617,0.342,0.551,Carrollton Ridge
2005,4,862,0.391,0.513,Millhill
2005,5,696,0.376,0.534,Millhill
2006,1,1133,0.429,0.529,Carroll-South Hilton
2006,2,671,0.35,0.605,Gwynns Falls
2006,3,909,0.021,0.967,Carroll-South Hilton
2007.01,1,743,0.001,0.992,Lower Edmondson Village
2007.01,2,1049,0.005,0.981,Saint Josephs
2007.01,3,902,0.002,0.982,Allendale
2007.01,4,1125,0.008,0.976,Allendale
2007.01,5,800,0.006,0.985,Allendale
2007.02,1,557,0.034,0.937,Saint Josephs
2007.02,2,869,0.014,0.955,Saint Josephs
2008,1,993,0.124,0.843,Irvington
2008,2,753,0.151,0.818,Irvington
2008,3,536,0.047,0.909,Irvington
2101,1,573,0.494,0.468,Washington Village/Pigtown
2101,2,1557,0.36,0.552,Barre's Delight
2102,1,1494,0.378,0.562,Washington Village/Pigtown
2102,2,1879,0.441,0.409,Washington Village/Pigtown
2201,1,1241,0.661,0.198,Barre's Delight
2201,2,1650,0.792,0.132,Otterbein
2201,3,73,0.726,0.233,Inner Harbor
2201,4,1061,0.829,0.116,Federal Hill
2301,1,1037,0.861,0.058,Sharp-Leadenhall
2301,2,916,0.332,0.624,Sharp-Leadenhall
2302,1,890,0.912,0.026,South Baltimore
2302,2,1282,0.901,0.058,South Baltimore
2303,1,72,0.958,0,South Baltimore
2303,2,1064,0.88,0.068,South Baltimore
2401,1,1580,0.929,0.018,Locust Point
2401,2,1119,0.939,0.015,Locust Point
2402,1,1683,0.868,0.048,Riverside
2402,2,881,0.934,0.025,Riverside
